DrugID,GenericName,BrandName,Strength,DosageForm,PackSize,TherapeuticClass,UnitCost,SellingPrice,ShelfLifeDays,Criticality,DataSource,DataStatus,NotOperationalEvidence
D0001,Acetylcysteine,Acetylcysteine-Brand,200 mg,Tablet,50,Analgesic,9.06,10.71,540,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0002,Albendazole,Albendazole-Brand,500 mg,Cream,100,Antihistamine,56.96,68.21,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0003,Allopurinol,Allopurinol-Brand,50 mg,Cream,50,Gastrointestinal,71.4,84.38,180,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0004,Ambroxol,Ambroxol-Brand,20 mg,Syrup,100,Gastrointestinal,71.51,88.55,730,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0005,Amikacin,Amikacin-Brand,20 mg,Tablet,20,Analgesic,40.16,52.09,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0006,Amitriptyline,Amitriptyline-Brand,500 mg,Cream,10,Analgesic,48.96,61.77,365,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0007,Amlodipine,Amlodipine-Brand,200 mg,Injection,10,Neurological,62.48,74.09,1095,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0008,Amoxicillin,Amoxicillin-Brand,10 mg,Capsule,30,Respiratory,49.74,62.15,540,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0009,Apixaban,Apixaban-Brand,200 mg,Sachet,20,Respiratory,18.02,21.38,365,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0010,ArtemetherLumefantrine,ArtemetherLumefantrine-Brand,200 mg,Sachet,30,Gastrointestinal,39.17,47.12,365,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0011,Aspirin,Aspirin-Brand,100 mg,Capsule,30,Analgesic,41.44,50.9,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0012,Atenolol,Atenolol-Brand,200 mg,Tablet,10,Antihistamine,22.78,30.61,730,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0013,Atorvastatin,Atorvastatin-Brand,20 mg,Syrup,100,Antibiotic,23.69,30.24,365,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0014,Azithromycin,Azithromycin-Brand,20 mg,Injection,20,Gastrointestinal,17.01,21.2,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0015,Bisoprolol,Bisoprolol-Brand,50 mg,Injection,10,Antifungal,61.56,75.33,365,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0016,Budesonide,Budesonide-Brand,200 mg,Capsule,20,Antibiotic,38.64,51.61,180,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0017,Captopril,Captopril-Brand,500 mg,Sachet,50,Vitamins,38.03,51.11,1095,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0018,Carbamazepine,Carbamazepine-Brand,50 mg,Sachet,10,Gastrointestinal,64.47,78.06,730,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0019,Cefixime,Cefixime-Brand,20 mg,Syrup,10,Antibiotic,69.43,91.17,365,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0020,Ceftriaxone,Ceftriaxone-Brand,20 mg,Capsule,10,Cardiovascular,78.31,104.74,540,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0021,Cetirizine,Cetirizine-Brand,100 mg,Sachet,30,Antihistamine,44.94,57.92,730,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0022,Ciprofloxacin,Ciprofloxacin-Brand,10 mg,Injection,50,Antidiabetic,30.61,35.59,180,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0023,Clopidogrel,Clopidogrel-Brand,250 mg,Tablet,50,Neurological,48.5,55.78,540,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0024,Dexamethasone,Dexamethasone-Brand,500 mg,Cream,50,Cardiovascular,21.32,25.32,365,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0025,Diclofenac,Diclofenac-Brand,200 mg,Injection,100,Antifungal,2.68,3.32,180,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0026,Doxycycline,Doxycycline-Brand,50 mg,Tablet,20,Neurological,69.33,84.52,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0027,Enalapril,Enalapril-Brand,200 mg,Sachet,50,Antidiabetic,18.01,21.0,540,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0028,Esomeprazole,Esomeprazole-Brand,200 mg,Tablet,30,Gastrointestinal,38.95,46.99,540,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0029,Fluconazole,Fluconazole-Brand,250 mg,Sachet,30,Antibiotic,10.85,13.88,365,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0030,FolicAcid,FolicAcid-Brand,250 mg,Capsule,20,Antifungal,24.48,29.59,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0031,Furosemide,Furosemide-Brand,100 mg,Capsule,20,Cardiovascular,59.64,68.71,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0032,Gabapentin,Gabapentin-Brand,100 mg,Cream,50,Antifungal,46.34,53.65,1095,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0033,Gliclazide,Gliclazide-Brand,250 mg,Capsule,100,Vitamins,50.94,66.98,365,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0034,Hydrochlorothiazide,Hydrochlorothiazide-Brand,250 mg,Tablet,20,Antidiabetic,28.69,34.89,365,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0035,Ibuprofen,Ibuprofen-Brand,20 mg,Cream,100,Antibiotic,9.66,13.01,730,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0036,Insulin,Insulin-Brand,50 mg,Cream,50,Cardiovascular,40.86,47.28,540,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0037,Losartan,Losartan-Brand,10 mg,Syrup,20,Vitamins,37.45,46.49,180,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0038,Metformin,Metformin-Brand,500 mg,Sachet,20,Cardiovascular,2.97,3.72,180,LOW,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0039,Montelukast,Montelukast-Brand,500 mg,Tablet,20,Antibiotic,47.42,61.94,1095,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0040,Omeprazole,Omeprazole-Brand,500 mg,Cream,10,Antibiotic,39.04,46.28,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0041,Paracetamol,Paracetamol-Brand,250 mg,Cream,50,Antibiotic,77.08,102.43,180,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0042,Prednisolone,Prednisolone-Brand,20 mg,Tablet,50,Neurological,17.17,21.23,730,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0043,Salbutamol,Salbutamol-Brand,10 mg,Capsule,100,Respiratory,30.28,38.77,180,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0044,Simvastatin,Simvastatin-Brand,100 mg,Capsule,30,Antibiotic,44.28,53.91,180,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0045,Spironolactone,Spironolactone-Brand,50 mg,Cream,50,Analgesic,45.28,60.67,1095,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0046,Tramadol,Tramadol-Brand,50 mg,Tablet,20,Antidiabetic,39.85,51.02,540,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0047,Valproate,Valproate-Brand,250 mg,Sachet,50,Gastrointestinal,27.69,33.93,1095,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0048,VitaminD,VitaminD-Brand,20 mg,Syrup,30,Antibiotic,35.18,43.3,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0049,Warfarin,Warfarin-Brand,200 mg,Cream,50,Vitamins,67.45,82.09,730,MEDIUM,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
D0050,Zinc,Zinc-Brand,10 mg,Injection,10,Antihistamine,18.95,22.42,540,HIGH,SIMULATED_REEM_V2,DEVELOPMENT,TRUE
